Restaurant_Name,Dining_Rating,Delivery_Rating,Dining Votes,Delivery_Votes,Cuisine ,Place_Name,City,Best_Seller,Votes,Prices
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,84,249
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,45,129
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,39,189
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,43,189
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,MUST TRY,31,205
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,48,199
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,CHEF'S SPECIAL,27,165
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,59,165
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,29,115
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,31,129
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,9,295
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,27,279
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,MUST TRY,5,159
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,MUST TRY,5,129
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,0,199
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,84,249
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,27,279
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,26,205
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,CHEF'S SPECIAL,31,205
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,39,189
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,43,189
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,9,295
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,CHEF'S SPECIAL,5,159
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,7,169
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,0,175
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,0,199
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,5,199
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,48,199
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,17,115
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,7,115
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,22,125
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,0,105
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,0,105
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,0,115
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,29,115
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,7,145
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,CHEF'S SPECIAL,27,165
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,CHEF'S SPECIAL,0,165
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,14,159
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,45,129
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,31,129
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,5,129
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,24,115
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,BESTSELLER,59,165
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,0,105
Doner King,3.9,4.2,39,0,Fast Food,Malakpet, Hyderabad,,16,175
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,184,249
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,183,299
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,103,349
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,62,279
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,42,119
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,27,109
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,86,109
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,27,129
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,43,259
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,18,209
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,49,189
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,139,119
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,19,378
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,8,189
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,16,109
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,249
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,19,40
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,42,139
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,10,115
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,109
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,6,70
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,23,59
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,11,40
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,5,40
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,129
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,129
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,183,299
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,399
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,378
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,344
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,388
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,314
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,6,334
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,318
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,308
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,388
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,244
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,103,349
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,449
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,19,378
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,408
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,364
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,324
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,338
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,328
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,354
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,378
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,264
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,249
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,184,249
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,139,119
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,86,109
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,17,119
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,42,119
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,119
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,5,119
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,43,259
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,179
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,10,115
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,62,279
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,199
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,135
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,5,219
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,5,185
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,5,185
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,249
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,195
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,6,205
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,225
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,5,215
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,9,235
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,8,189
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,18,209
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,79
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,79
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,69
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,9,99
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,109
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,13,109
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,119
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,27,129
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,42,139
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,249
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,49,189
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,27,109
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,23,59
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,16,109
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,5,57
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,57
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,57
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,57
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,28.57
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,BESTSELLER,6,70
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,19,40
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,11,40
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,5,40
Taco Bell,4.3,3.7,117,0,Wraps,The Next Galleria Mall, Hyderabad,,0,40
BrownBear,3.6,4,239,0,Fast Food,Himayath Nagar, Hyderabad,,0,500
BrownBear,3.6,4,239,0,Fast Food,Himayath Nagar, Hyderabad,,0,550
BrownBear,3.6,4,239,0,Fast Food,Himayath Nagar, Hyderabad,,0,700
